,Title
472,Edward and Sarah Rutter
473,Jacob Hurd
474,Mrs. Jacob Hurd and Child
475,Mrs. Samuel Gardiner
476,Samuel Gardiner
477,The Sisters
478,Autumn
479,Spring
480,Arthur Hoppock Hearn
481,Louise
482,John Grimes
483,On to Liberty
484,Approaching Storm
485,"Yosemite Falls, from Glacier Point"
486,The American Star (George Washington)
487,"Washington Reviewing the Western Army at Fort Cumberland, Maryland"
488,Psyche
489,The Seer
490,"Eaton's Neck, Long Island"
491,A Foggy Sky
492,Gathering Storm on Long Island Sound
493,Hudson River Scene
494,Lake George
495,"Lake George, 1872"
496,"Lake George, A Reminiscence"
497,"Lake George, Free Study"
498,"Lake George, New York"
499,Newport Rocks
500,October in the Marshes
501,"The Old Pine, Darien, Connecticut"
502,Passing off of the Storm
503,Salt Meadow in October
504,The Sea
505,Study of Beeches
506,Summer Day on Conesus Lake
507,Sunset
508,Sunset on the Sea
509,Sunset Sky
510,"Twilight in the Cedars at Darien, Connecticut"
511,"Twilight on the Sound, Darien, Connecticut"
512,Ivory-billed Woodpeckers
513,Charles Henry Augustus Carter
514,Rosa Bonheur
515,Portrait of a Lady
516,Self-portrait
517,"Autumn Study, View over Hanging Rock, Newport, R.I."
518,The Muse of Painting
519,Portrait of the Painter
520,Roses
521,Side of a Greenhouse
522,The Golden State Entering New York Harbor
523,Stage Fort across Gloucester Harbor
524,The Basket Maker
525,The Meadows
526,The Bronx River
527,Henry Inman
528,Joseph W. Drexel
529,Self-portrait
530,Amory Sibley Carhart
531,William Cullen Bryant
532,Washington Crossing the Delaware
533,Worthington Whittredge
534,The Old Factory
535,William Popham
536,Patrick Cardinal Hayes
537,Peonies
538,John Quincy Adams Ward
539,Aurora
540,Auguste Rodin
541,The Daughter's Return
542,Madonna of Giverny
543,May Suydam Palmer
544,Self-portrait
545,On the Old Sod
546,Jeremiah Platt
547,"Behind Dunes, Lake Ontario"
548,Old Manor of Criqueboeuf
549,View on the Seine: Harp of the Winds
550,Afternoon among the Cypress
551,"Old Annapolis, Francis Street"
552,In Strange Seas
553,Saturday Afternoon
554,"Old Brewery, Five Points Mission, New York"
555,In the Studio (Gari Melchers and Hugo Reisinger)
556,Madonna
557,Hillside Pastures—September
558,The North Country
559,A Cosey Corner
560,Appraisement
561,A Discussion
562,Sculptor's Studio
563,Henry Clay
564,Flowers of the Field
565,The National Academy Jury of 1907
566,Marine
567,Lake Como
568,The Teton Range
569,De Witt Clinton
570,Mrs. Daniel DeSaussure Bacot
571,Susan Walker Morse (The Muse)
572,Just Moved
573,Job Perit
574,Sally Sanford Perit
575,Catherine Brooks Hall
576,Cider Making
577,Gideon Tucker
578,Great-Grand-Father's Tale of the Revolution—A Portrait of Reverend Zachariah Greene
579,Long Island Farmhouses
580,Martin Euclid Thompson
581,Mrs. Gideon Tucker
582,The Raffle (Raffling for the Goose)
583,Harem Scene
584,Landscape
585,The Old Barn
586,The Mission Tent
587,A North River Recreation Pier
588,Street Group
589,John Haviland
590,The Fortune Teller
591,Hagar and Ishmael
592,Madonna and Child and Little Saint John
593,The Jade Pool
594,Shifting Shadows
595,Snow Mountain
596,Daughter of William Page (Possibly Anne Page)
597,Daughter of William Page (Probably Mary Page)
598,Silent Dawn
599,Mrs. Warren Rogers
600,The Errant Pan
601,The Great Abyss
602,Tea Leaves
603,Elie Williams
604,George Washington
605,Margaret Strachan (Mrs. Thomas Harwood)
606,Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis
607,Portrait of a Gentleman
608,Portrait of a Woman
609,Samuel Mifflin
610,Thomas Willing
611,George Washington
612,Martha Stewart Wilson
613,Still Life: Balsam Apple and Vegetables
614,Still Life with Cake
615,George Washington
616,George Washington
617,John Johnston
618,The Marquis de Lafayette
619,Martha Washington
620,The Arab Jeweler
621,The Raymond Children
622,Talking It Over
623,The True American
624,Office Board
625,The Old Cremona
626,Old Souvenirs
627,Mrs. Mayer and Daughter
628,Philip Slade
629,Thomas Storm
630,Dr. Stephen Smith
631,Banks of the Loing
632,Landscape
633,The Daughters of Daniel T. MacFarlan
634,Kate Lyon Cornell
635,Mr. and Mrs. Daniel T. MacFarlan
636,George Washington
637,"Joseph Howell, Jr."
638,The Oak Door
639,The American School
640,Cadwallader Colden and His Grandson Warren De Lancey
641,Mrs. Peter De Lancey
642,Annie Sargent Jewett
643,Annie Sargent Jewett
644,Beach No. 3
645,Central Park
646,Group of Figures
647,Portrait of a Girl with Flowers
648,Leatherstocking's Rescue
649,The Vigilant Stuyvesant's Wall Street Gate
650,Fruit with Blue-footed Bowl
651,"High Bridge, New York"
652,Spring Woods
653,"Berks County Almshouse, 1880"
654,Overlooking the Valley
655,Fleur de Lis
656,Pitched It Sheer into the River . . . Where It Still Is Seen in the Summer
657,On the Southern Plains
658,Indian Summer
659,"Near Land's End, Cornwall"
660,New Jersey Beach
661,Surf on Rocks
662,Underneath Niagara Falls
663,A Bird's-Eye View
664,The Old Mill (Vieux Moulin)
665,Still Life: Flowers and Fruit
666,Still Life: Fruit
667,"Washington and Lafayette at Mount Vernon, 1784 (The Home of Washington after the War)"
668,Under a Cloud
669,The Bridge
670,Curfew Hour
671,The Forest of Arden
672,Landscape
673,Moonlight Marine
674,The Smugglers' Cove
675,The Toilers of the Sea
676,"Mt. Mansfield, Vermont"
677,George P. Putnam
678,Stephen Whitney Phoenix
679,"The Custom House at Greenock, Scotland"
680,Ada Rehan
681,Alpine Pool
682,Astarte
683,"The Balcony, Spain [and] Two Nude Bathers Standing on a Wharf"
684,Bringing Down Marble from the Quarries to Carrara
685,"Cliffs at Deir el Bahri, Egypt"
686,"Courtyard, Tétouan, Morocco"
687,Edward Robinson
688,Egyptian Woman
689,Egyptian Woman with Earrings
690,Egyptians Raising Water from the Nile
691,Gitana
692,Henry G. Marquand
693,The Hermit (Il solitario)
694,Lady with the Rose (Charlotte Louise Burckhardt)
695,Landscape with Goatherd
696,Madame X (Madame Pierre Gautreau)
697,A Male Model Standing before a Stove
698,Mannikin in the Snow
699,Moorish Buildings in Sunlight
700,Moorish Buildings on a Cloudy Day
701,Mr. and Mrs. I. N. Phelps Stokes
702,Mrs. Henry Galbraith Ward
703,"Open Doorway, Morocco"
704,Padre Sebastiano
705,"Philosophy: A Preparation for the Mural in the Museum of Fine Arts, Boston"
706,Reapers Resting in a Wheat Field
707,"Science: A Preparation for the Mural in the Museum of Fine Arts, Boston"
708,Santa Sofia
709,Betty Gallowhur (Betty Newell)
710,Spanish Landscape
711,A Spanish Madonna
712,Studies of a Dead Bird
713,Two Arab Women
714,Two Girls on a Lawn
715,Two Girls with Parasols
716,Tyrolese Interior
717,"White Walls in Sunlight, Morocco"
718,"William M. Chase, N. A."
719,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant"
720,The Third Avenue Railroad Depot
721,"Sand Dunes near Lelant, Cornwall, England"
722,In Hot Pursuit
723,My Bunkie
724,Portrait of a Lady (possibly Tryntje Otten Veeder)
725,Levi Hale Willard
726,Jungle Tales (Contes de la Jungle)
727,Magnolia
728,The Deluge towards Its Close
729,Midnight
730,In Mischief
731,Francis Brinley
732,Hannah Pemberton
733,Mrs. Francis Brinley and Her Son Francis
734,Nathaniel Byfield
735,East Hampton Meadows
736,Landscape with Waterfall and Figures
737,Mary Ann Garrits
738,"Celery, Cock, and Bowl"
739,Jonathan Dwight
740,The Parthenon
741,John and Louisa Stock
742,Mary Cadwalader Rawle
743,Alexander Stuart Murray
744,Portrait of the Artist
745,Albert Gallatin
746,Commodore Isaac Hull
747,"David Sears, Jr."
748,George Heathcote
749,George Washington
750,George Washington
751,Henry Rice
752,Horatio Gates
753,James Monroe
754,John R. Murray
755,Josef de Jaudenes y Nebot
756,Joseph Anthony Jr.
757,"Louis-Marie, Vicomte de Noailles"
758,Man in a Green Coat
759,Matilda Stoughton de Jaudenes
760,Matthew Clarkson
761,Mrs. Andrew Sigourney
762,Mrs. Joseph Anthony Jr. (Henrietta Hillegas)
763,Portrait of the Artist
764,Thomas Smith
765,Washington Allston
766,William Kerin Constable
767,Macomb's Dam Hotel
768,John Finley
769,Major John Biddle
770,Mother and Son
771,Mrs. Huges
772,"Mrs. James Montgomery, Jr."
773,Mrs. John Biddle (Eliza Falconer Bradish)
774,Mrs. Katherine Matthews
775,Musidora
776,Portrait of the Artist
777,Queen Victoria
778,Child Asleep (The Rosebud)
779,Sarah Annis Sully (Mrs. Thomas Sully)
780,The Student
781,William Gwynn
782,George Washington
783,An Opalescent River
784,In the House of Matthew
785,John La Farge
786,Deer—Sketch from Nature
787,Doe and Two Fawns
788,On Point
789,"On the Qui Vive, Buck and Three Does"
790,Rabbits on a Log
791,Return of the Redwing
792,Across the Room
793,Still Life: Vase of Peonies
794,Mrs. William F. Milton
795,"Winter Sunrise, Monadnock"
796,Young Woman
797,Gabriel Manigault
798,John Dart
799,Mrs. Gabriel Manigault
800,Mrs. John Dart
801,Mrs. S. Seymour Thomas
802,"Old Bruton Church, Williamsburg, Virginia, in the Time of Lord Dunmore"
803,Mrs. Cephas Thompson (Olivia Leonard)
804,Spring
805,The Belated Party on Mansfield Mountain
806,Song of the Waters
807,Summer Flowers
808,"The U. S. Ship Franklin, with a View of the Bay of New York"
809,"Snake Charmer at Tangier, Africa"
810,The Etcher
811,Trappers
812,Alexander Hamilton
813,George Washington and William Lee
