,Title
2143,Manuel Osorio Manrique de Zuñiga (1784–1792)
2144,"José Costa y Bonells (died l870), Called Pepito"
2145,Narcisa Barañana de Goicoechea
2146,Majas on a Balcony
2147,Don Bernardo de Iriarte (1735–1814)
2148,Infanta María Luisa (1782–1824) and Her Son Carlos Luis (1799–1883)
2149,"Ferdinand VII (1784–1833), When Prince of Asturias"
2150,"María Luisa of Parma (1751–1819), Queen of Spain"
2151,A City on a Rock
2152,Bullfight in a Divided Ring
2153,Sandy Road with a Farmhouse
2154,Country House near the Water
2155,The Pelkus Gate near Utrecht
2156,View of Haarlem and the Haarlemmer Meer
2157,Castle by a River
2158,River View with a Village Church
2159,"Saints Nicholas of Tolentino, Roch, Sebastian, and Bernardino of Siena, with Kneeling Donors"
2160,Scenes from the Life of Saint John the Baptist
2161,Saint John the Baptist Bearing Witness
2162,The Choir of the Capuchin Church in Rome
2163,The Adoration of the Shepherds
2164,The Adoration of the Shepherds
2165,Christ Healing the Blind
2166,Cardinal Fernando Niño de Guevara (1541–1609)
2167,Portrait of an Old Man
2168,View of Toledo
2169,The Vision of Saint John
2170,Saint Andrew
2171,Broken Eggs
2172,Aegina Visited by Jupiter
2173,"Charles Claude de Flahaut (1730–1809), Comte d'Angiviller"
2174,Head of a Young Woman
2175,Study of a Woman’s Head
2176,"Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743–1817)"
2177,Princess Varvara Nikolaevna Gagarina (1762–1802)
2178,Jean Jacques Caffiéri (1725–1792)
2179,Head of a Young Boy
2180,"The Empress Elizabeth of Russia (1709–1762) on Horseback, Attended by a Page"
2181,Portrait of a Woman
2182,Fantastic Landscape
2183,Fantastic Landscape
2184,Fantastic Landscape
2185,Venice from the Bacino di San Marco
2186,Piazza San Marco
2187,Santa Maria della Salute
2188,The Grand Canal above the Rialto
2189,Venice: The Dogana and Santa Maria della Salute
2190,Venice: The Rialto
2191,Madonna and Child
2192,Samson Captured by the Philistines
2193,The Vocation of Saint Aloysius (Luigi) Gonzaga
2194,An Allegory
2195,In the Studio
2196,A Banquet
2197,Young Man and Woman in an Inn
2198,Portrait of a Bearded Man with a Ruff
2199,"Anna van der Aar (born 1576/77, died after 1626)"
2200,Petrus Scriverius (1576–1660)
2201,Paulus Verschuur (1606–1667)
2202,"Portrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650)"
2203,Merrymakers at Shrovetide
2204,Portrait of a Man
2205,Portrait of a Woman
2206,The Smoker
2207,Boy with a Lute
2208,Frans Hals (1582/83–1666)
2209,Malle Babbe
2210,Portrait of a Woman
2211,Self-Portrait
2212,Moonrise
2213,A Vase of Flowers
2214,Still Life with a Glass and Oysters
2215,Still Life: A Banqueting Scene
2216,"Jacob Willemsz van Veen (1456–1535), the Artist's Father"
2217,Portrait of a Man
2218,The Musician
2219,The Calling of Saint Matthew
2220,A Bather (Echo)
2221,Young Woman Praying
2222,The Huis ten Bosch at The Hague and Its Formal Garden (View from the South)
2223,The Huis ten Bosch at The Hague and Its Formal Garden (View from the East)
2224,Entrance to a Village
2225,Woodland Road
2226,The Wedding of Stephen Beckingham and Mary Cox
2227,"Benedikt von Hertenstein (born about 1495, died 1522)"
2228,Hermann von Wedigh III (died 1560)
2229,Derick Berck of Cologne
2230,Portrait of a Man in a Red Cap
2231,"Lady Guildford (Mary Wotton, 1499–1558)"
2232,"Lady Lee (Margaret Wyatt, born about 1509)"
2233,Portrait of a Young Woman
2234,Portrait of a Man (Sir Ralph Sadler?)
2235,"Lady Rich (Elizabeth Jenks, died 1558)"
2236,"Edward VI (1537–1553), When Duke of Cornwall"
2237,Peacocks
2238,Christ among the Doctors
2239,Interior with a Young Couple
2240,"Woman with a Water Pitcher, and a Man by a Bed"
2241,Paying the Hostess
2242,The Visit
2243,A Woman and Two Men in an Arbor
2244,The Annunciation of the Death of the Virgin
2245,Lady Hester King (died 1873)
2246,Major Thomas Pechell (1753–1826)
2247,"Mrs. John Garden (Ann Garden, 1769–1842) and Her Children, John (1796–1854) and Ann Margaret (born 1793)"
2248,"Mrs. Richard Bache (Sarah Franklin, 1743–1808)"
2249,"Mrs. Richard Brinsley Sheridan (Hester Jane Ogle, 1775/76–1817) and Her Son (Charles Brinsley Sheridan, 1796–1843)"
2250,"Mrs. Thomas Pechell (Charlotte Clavering, died 1841)"
2251,"Mrs. Whaley (died 1798, Isle of Man)"
2252,"Portrait of a Woman; (reverse, now covered by relining canvas) Study of a Child's Head"
2253,"Richard Humphreys, the Boxer"
2254,The Sackville Children
2255,A Musical Gathering at the Court of the Elector Karl Albrecht of Bavaria
2256,Still Life: A Basket of Grapes and Other Fruit
2257,William H. Riggs (1837–1924) in Sixteenth-Century Half-Armor
2258,The Temptation of Saint Anthony
2259,"Madame Jacques-Louis Leblanc (Françoise Poncelle, 1788–1839)"
2260,Edmond Cavé (1794–1852)
2261,Head of Saint John the Evangelist
2262,Jacques-Louis Leblanc (1774–1846)
2263,"Madame Edmond Cavé (Marie-Élisabeth Blavot, born 1810)"
2264,Odalisque in Grisaille
2265,Ingres (1780–1867) as a Young Man
2266,"Christ Crowned with Thorns (Ecce Homo), and the Mourning Virgin"
2267,Man Weighing Gold
2268,Expectation
2269,Grandmother's Treasure
2270,"Alfonso I d'Este (1476–1534), Duke of Ferrara"
2271,Madonna and Child Enthroned
2272,Madonna and Child Enthroned
2273,Madonna and Child Enthroned with Saint John the Baptist and Another Saint
2274,Madonna and Child with Angels
2275,Madonna and Child with the Young Saint John the Baptist
2276,Portrait of a Woman
2277,Portrait of a Man in a Fur-Trimmed Coat
2278,The Annunciation
2279,Two Angels
2280,Portrait of a Man
2281,Portrait of a Man
2282,Madonna and Child with Saints Michael and John the Baptist; The Noli Me Tangere; The Conversion of Saint Paul
2283,Pomegranates and Other Fruit in a Landscape
2284,Book Cover
2285,Madonna and Child with Saints Jerome and Francis
2286,"The Theological Virtues: Faith, Charity, Hope"
2287,Madonna and Child
2288,Portrait of a Young Man
2289,Holy Family
2290,Michelangelo Buonarroti (1475–1564)
2291,The Sheepfold
2292,Springtime
2293,The Dead Christ in the Tomb with Two Angels
2294,Captain Swaton
2295,The Adoration of the Christ Child
2296,Capriccio with St. Paul's and Old London Bridge
2297,Scene in a Courtyard
2298,Honfleur
2299,The Pont Neuf
2300,Portrait of a Man
2301,Portrait of a Woman
2302,Portrait of a Man with a Watch
2303,The Annunciation
2304,The Holy Family
2305,The Last Judgment
2306,Virgin and Child
2307,"Francis I (1494–1547), King of France"
2308,The Holy Family
2309,The Holy Family with Shepherds
2310,The Holy Family with Saint Anne and the Young Baptist and His Parents
2311,The Marriage Feast at Cana
2312,Saints Michael and Francis
2313,The Adoration of the Magi
2314,"Still Life with Fruit, Glassware, and a Wanli Bowl"
2315,Interior of a Kitchen
2316,"Edward Smith Stanley (1752–1834), Twelfth Earl of Derby, Elizabeth, Countess of Derby (Lady Elizabeth Hamilton, 1753–1797), and Their Son (Edward Smith Stanley, 1775–1851)"
2317,The Sorrow of Telemachus
2318,Telemachus and the Nymphs of Calypso
2319,Italian Garden
2320,Crusaders before Jerusalem
2321,The Lacemaker
2322,A Mountainous Landscape with a Waterfall
2323,A Musician and His Daughter
2324,Mäda Primavesi (1903–2000)
2325,Serena Pulitzer Lederer (1867–1943)
2326,Girl Building a House of Cards
2327,"Charles Beauclerk (1670–1726), Duke of St. Albans"
2328,Lady Mary Berkeley
2329,"Valdemar Hjartvar Købke (1813–1893), the Artist's Brother"
2330,"Winter Landscape, Holland"
2331,Sunset on the Rhine
2332,Hugo van der Goes Painting the Portrait of Mary of Burgundy
2333,A Panoramic Landscape with a Country Estate
2334,An Extensive Wooded Landscape
2335,Wide River Landscape
2336,Red Sunset on the Dnieper
2337,Portrait of a Young Man; (reverse) Girl Making a Garland
2338,The Ascension of Christ
2339,Allegory of Music
2340,The Fortune-Teller
2341,The Penitent Magdalen
2342,"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761–1818) and Marie Marguerite Carreaux de Rosemond (died 1788)"
2343,Apollo and Aurora
2344,"Copy after Rubens's ""Wolf and Fox Hunt"""
2345,Portrait of a Woman and an Enslaved Servant
2346,André François Alloys de Theys d'Herculais (1692–1779)
2347,The Village of La Celle-sous-Moret
2348,"The Calmady Children (Emily, 1818–?1906, and Laura Anne, 1820–1894)"
2349,"Elizabeth Farren (born about 1759, died 1829), Later Countess of Derby"
2350,John Julius Angerstein (1736–1823)
2351,Lady Maria Conyngham (died 1843)
2352,The Rape of Tamar
2353,A Masked Ball in Bohemia
2354,General Garibaldi's Residence at Caprera
2355,Graziella
2356,Peasant Girl with a White Headcloth
2357,Lucia
2358,Lachrymae
2359,Choosing the Dinner
2360,"Mary Capel (1630–1715), Later Duchess of Beaufort, and Her Sister Elizabeth (1633–1678), Countess of Carnarvon"
2361,Study for a Portrait of a Woman
2362,Sir Henry Capel (1638–1696)
2363,"Barbara Villiers (1640–1709), Duchess of Cleveland"
2364,The Interior of an Atelier of a Woman Painter
2365,"Marion Lenbach (1892–1947), the Artist's Daughter"
2366,Prince Regent Luitpold of Bavaria (1821–1912)
2367,"Auction Sale in Clinton Hall, New York, 1876"
2368,The Organ Rehearsal
2369,The Grape Harvest
2370,Among the Humble
2371,The Ropewalk in Edam
2372,Allegory of Avarice
2373,Peasants Dancing
2374,Battle Scene
2375,Tobit Burying the Dead
2376,Madonna and Child
2377,The Descent from the Cross
2378,Madonna and Child Enthroned with Two Angels
2379,Portrait of a Woman with a Man at a Casement
2380,The Annunciation
2381,The Visit
2382,The Letter
2383,The Meeting
2384,The Temptation
2385,Madonna and Child
2386,Saint Catherine of Alexandria
2387,Madonna Adoring the Child with the Infant Saint John the Baptist and an Angel
2388,Portrait of a Young Woman
2389,Abraham
2390,David
2391,Moses
2392,Noah
2393,Brother Gregorio Belo of Vicenza
2394,Venus and Cupid
2395,Madonna and Child
2396,The Crucifixion
2397,Christ Presented to the People
2398,"Morning, Interior"
2399,"Laure de Sade, Comtesse Adhéaume de Chevigné"
2400,Samuel P. Avery (1822–1904)
2401,"Masquerade Ball at the Ritz Hotel, Paris"
2402,Girls at a Window
2403,Abraham Dismissing Hagar and Ishmael
2404,"Ingena Rotterdam (died 1704), Betrothed of Admiral Jacob Binkes"
2405,"Admiral Jacob Binkes (born about 1640, died 1677)"
2406,The Lacemaker
2407,Portrait of a Woman
2408,Young Woman Peeling Apples
2409,The Tame Magpie
2410,Nuns at Work
2411,The Dream after the Ball
2412,The Peddler
2413,David at the Cave of Adullam
2414,Sebastian Andorfer (1469–1537)
2415,Ulrich Fugger the Younger (1490–1525)
2416,A Circus Boy
2417,The Spanish Singer
2418,Mademoiselle V. . . in the Costume of an Espada
2419,The Brioche
2420,Boating
2421,Boy with a Sword
2422,"Copy after Delacroix's ""Bark of Dante"""
2423,The Dead Christ with Angels
2424,Fishing
2425,The Funeral
2426,George Moore (1852–1933) at the Café
2427,Head of Jean-Baptiste Faure (1830–1914)
2428,Jean-Baptiste Faure (1830–1914)
2429,"Madame Edouard Manet (Suzanne Leenhoff, 1829–1906)"
2430,A Matador
2431,Peonies
2432,"Still Life with Flowers, Fan, and Pearls"
2433,Strawberries
2434,Young Lady in 1866
2435,The Monet Family in Their Garden at Argenteuil
2436,The Adoration of the Shepherds
2437,The Holy Family with Saint Mary Magdalen
2438,Madonna and Child with Seraphim and Cherubim
2439,Rodolfo Gonzaga (1451–1495)
2440,Penelope
2441,The Flood Gate
2442,Canal Side
2443,Reverie
2444,"Still Life with Poppy, Insects, and Reptiles"
2445,Saint Anthony of Padua
2446,The Adoration of the Magi
2447,Portrait of a Man
2448,Portrait of a Woman
2449,The Rest on the Flight into Egypt
2450,Ameto's Discovery of the Nymphs
2451,The Martyrdom of Saint Lawrence; (reverse) Giving Drink to the Thirsty
2452,"Jan (1438–1516), First Count of Egmond; Countess of Egmond (Magdalena van Werdenburg, 1464–1538)"
2453,The Sense of Sight
2454,Scenes from the Story of the Argonauts
2455,Beggars at a Doorway
2456,Portrait of a Woman
2457,The Birth of Cupid
2458,The Crucifixion
2459,The Arrival in Bethlehem
2460,Madonna and Child
2461,Virgin Suckling the Child
2462,"Madonna and Child with the Donor, Pietro de' Lardi, Presented by Saint Nicholas"
2463,Virgin and Child
2464,Crucifix
2465,Head of Christ
2466,Madonna and Child Enthroned with Angels
2467,Madonna and Child with the Infant Saint John the Baptist and Angels
2468,Young Man Holding a Book
2469,Madonna and Child Enthroned with Saints James Minor and Lucy
2470,Virgin and Child
2471,Joseph Interpreting the Dreams of His Fellow Prisoners
2472,The Lamentation
2473,Madonna and Child with Saints Jerome and Mary Magdalen
2474,Classical Landscape with Figures
2475,Changing Pasture
2476,Gathering Wood
2477,The Return to the Fold
2478,A Shepherdess and Her Flock
2479,Twilight
2480,The Last Token: A Christian Martyr
2481,"María Teresa (1638–1683), Infanta of Spain"
2482,The Card Players
2483,Soldier Playing the Theorbo
2484,A General and His Aide-de-camp
2486,The Afternoon Meal (La Merienda)
2487,Virgin and Child with Saints Catherine of Alexandria and Barbara
2488,Portrait of an Old Man
2489,"Tommaso di Folco Portinari (1428–1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)"
2490,Virgin and Child
2491,Young Woman with a Pink
2492,Virgin and Child
2493,Salvator Mundi
2494,Virgin and Child
2495,Madonna and Child with Saints and Angels
2496,Johann Joachim Winckelmann (1717–1768)
2497,"Falling Leaves, Allegory of Autumn"
2498,A Musical Party
2499,The Visit to the Nursery
2500,Tavern Scene
2501,A Woman Seated at a Window
2502,A Cavalry Engagement
2503,Waterfall at Mont-Dore
2504,Landscape with a Plowed Field and a Village
2505,The Mill of Montmartre
2506,Madonna and Child with the Infant Saint John the Baptist
2507,The Baker's Cart
2508,The Marriage of the Virgin
2509,Landscape with a Battle between Two Rams
2510,"Margaretha van Clootwijk (born about 1580/81, died 1662)"
2511,"Jacob van Dalen (1570–1644), Called Vallensis"
2512,Portrait of a Woman with a Lace Collar
2513,The Serenade
2514,Portrait of a Man
2515,"Charles I (1600–1649), King of England"
2516,Portia
2517,Mercury and Battus
2518,Autumn Landscape with a Flock of Turkeys
2519,Calling the Cows Home
2520,Garden Scene
2521,Haystacks: Autumn
2522,Shepherdess Seated on a Rock
2523,Woman with a Rake
2524,The Rest on the Flight into Egypt
2525,Landscape with a Cottage
2526,Harbor Scene: An English Ship with Sails Loosened Firing a Gun
2527,Dr. Leclenché
2528,The Green Wave
2529,Spring (Fruit Trees in Bloom)
2530,Landscape: The Parc Monceau
2531,The Parc Monceau
2533,View of Vétheuil
2534,Vétheuil in Summer
2535,Bouquet of Sunflowers
2536,Cabin of the Customs Watch
2537,Chrysanthemums
2538,Palm Trees at Bordighera
2539,The Valley of the Nervia
2540,The Manneporte near Étretat
2541,Rapids on the Petite Creuse at Fresselines
2542,The Four Trees
2543,Haystacks (Effect of Snow and Sun)
2544,Ice Floes
2545,Rouen Cathedral: The Portal (Sunlight)
2546,Morning on the Seine near Giverny
2547,Ile aux Orties near Vernon
2548,Bridge over a Pond of Water Lilies
2549,The Houses of Parliament (Effect of Fog)
2550,The Doge's Palace Seen from San Giorgio Maggiore
2551,Apples and Grapes
2552,"The Bodmer Oak, Fontainebleau Forest"
2553,Garden at Sainte-Adresse
2554,La Grenouillère
2555,Regatta at Sainte-Adresse
2556,Water Lilies
2557,Île aux Fleurs near Vétheuil
2558,Portrait of a Man in White
2559,Madonna Adoring the Child
2560,Portrait of a Woman
2561,The Court of the Princess
2562,Flowers in a Blue Vase
2563,Four Figures
2564,"Portrait of a Man, Possibly Ottavio Farnese (1524–1586), Duke of Parma and Piacenza"
2565,Oedipus and the Sphinx
2566,Portrait of a Young Boy
2567,The Entombment
2568,Christ in the Wilderness
2569,Portrait of a Man
2570,Young Woman Knitting
2571,Young Woman Seated on a Sofa
2572,The Bell Inn
2573,Lucrezia Agliardi Vertova (1490?–1558)
2574,Bartolomeo Bonghi (died 1584)
2575,Portrait of a Man
2576,Christ Shown to the People
2577,Maude Adams (1872–1953) as Joan of Arc
2578,The Music Room
2579,The Old Castle
2580,The Crucifixion
2581,Don Andrés de Andrade y la Cal
2582,A Knight of Alcántara or Calatrava
2583,Virgin and Child
2584,Count Giacomo Durazzo (1717–1794) and Ernestine Aloisia Ungnad von Weissenwolff (1732–1794)
2585,The Newborn Baby
2586,"Near Penshurst, Kent"
2587,The Rebuke of Adam and Eve
2588,Madame Marsollier and Her Daughter
2589,Portrait of a Woman
2590,Madame Bergeret de Frouville as Diana
2591,The Spring (La Source)
2592,"Marie Françoise de La Cropte de St. Abre, Marquise d'Argence (born 1714)"
2593,Interior of a Gothic Church by Day
2594,Interior of a Gothic Church at Night
2595,Interior of a Gothic Church at Night
2596,The Farrier
2597,Landscape at Sunset
2598,Sports on a Frozen River
2599,The Reader
2600,Madonna and Child with Saints Jerome and Mary Magdalen
2601,Saint Michael
2602,The Nightingale Sings
2603,Saint Donatian; Saint Victor Presenting a Donor
2604,Christ Bearing the Cross
2605,"Portrait of a Noblewoman, Probably Isabella of Portugal (1397–1472)"
2606,"Charles V (1500–1558), Holy Roman Emperor"
2607,Portrait of a Young Woman
2608,"Portrait of a Man, Possibly Jean de Langeac (died 1541), Bishop of Limoges"
2609,Portrait of a Woman
2610,Portrait of a Surgeon
2611,Portrait of a Man
2612,Portrait of a Young Man of the Van Steynoert Family
2613,The Rest on the Flight into Egypt
2614,The Adoration of the Magi
2615,A Sermon on Charity (possibly the Conversion of Saint Anthony)
2616,The Fifteen Mysteries and the Virgin of the Rosary
2617,Moses and Aaron before Pharaoh: An Allegory of the Dinteville Family
2618,The Card Party
2619,The Dispatch-Bearer
2620,A Cavalryman
2621,Saint Paul
2622,Saint Ursula and Her Maidens
2623,The Love Letter
2624,Virgin and Child with Angels
2625,Four Scenes from the Passion
2626,The Adoration of the Shepherds
2627,Saint Anne Enthroned with the Virgin and Child
2628,Man with a Tankard
2629,Dog Guarding Dead Game
2630,Ducks Resting in Sunshine
2631,Portrait of a Woman
2633,"The Grandchildren of Sir William Heathcote, 3rd Baronet"
2634,Portrait of a Young Man
2635,The Crucifixion
2636,Saint Romuald
2637,Ancient Rome
2638,Modern Rome
2639,"Interior of Saint Peter's, Rome"
2640,Madonna and Child
2641,Madonna and Child Enthroned
2642,The Annunciation
2643,A Mosque
2644,A Mosque
2645,"Portrait of a Knight of Malta, Probably Fra Jacopo Salviati"
2646,Concert Champêtre
2647,The Fair at Bezons
2648,The Golden Age
2649,Troops at Rest
2650,Troops on the March
2651,"Henry Frederick (1594–1612), Prince of Wales, with Sir John Harington (1592–1614), in the Hunting Field"
2652,"Princess Elizabeth (1596–1662), Later Queen of Bohemia"
2653,"Maria Luisa of Parma (1751–1819), Later Queen of Spain"
2654,Bacchus and Ariadne
2655,"January: Cernay, near Rambouillet"
2656,Head of a Man
2657,Our Lady of Guápulo
2658,Saint John the Baptist; Saint Lucy
2659,Frescoes from the Villa Stati-Mattei
2660,Portrait of an Olivetan Monk
2661,Madonna and Child with Six Saints
2662,Market Scene
2663,The Strong Family
2664,Saint Christopher Carrying the Infant Christ
2665,Man with a Celestial Globe
2666,A Hunting Scene
2667,The Return from the Hunt
2668,The Young Saint John the Baptist
2669,The Death of Harmonia
2670,Madonna and Child with Angels
2671,Processional Crucifix
2672,Thusnelda at the Triumphal Entry of Germanicus into Rome
2673,The Presentation in the Temple
2674,"Jalais Hill, Pontoise"
2675,"A Cowherd at Valhermeil, Auvers-sur-Oise"
2676,The Public Garden at Pontoise
2677,Barges at Pontoise
2678,"Washerwoman, Study"
2679,Two Young Peasant Women
2680,A Washerwoman at Éragny
2681,Bather in the Woods
2682,"Poplars, Éragny"
2683,"Morning, An Overcast Day, Rouen"
2684,Steamboats in the Port of Rouen
2685,The Boulevard Montmartre on a Winter Morning
2686,"Rue de l'Épicerie, Rouen (Effect of Sunlight)"
2687,The Garden of the Tuileries on a Winter Afternoon
2688,The Garden of the Tuileries on a Spring Morning
2689,The Garden of the Tuileries on a Winter Afternoon
2690,"Côte des Grouettes, near Pontoise"
2691,Still Life with Apples and Pitcher
2692,Mother and Child
2693,Christ and the Woman Taken in Adultery
2694,Portrait of a Woman
2695,A Brazilian Landscape
2696,Portrait of a Young Woman
2697,"Margherita Gonzaga (1591–1632), Princess of Mantua"
2698,Blind Orion Searching for the Rising Sun
2699,The Companions of Rinaldo
2700,Midas Washing at the Source of the Pactolus
2701,The Abduction of the Sabine Women
2702,Saints Peter and John Healing the Lame Man
2703,Orpheus and Eurydice
2704,Girl with Cherries
2705,Pilate Washing His Hands
2706,Madonna and Child with Saints Francis and Dominic and Angels
2707,Virgin and Child
2708,The Crucifixion
2709,Andromache and Astyanax
2710,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand"
2711,The Lamentation
2712,The Allegory of the Sorbonne
2713,The Shepherd's Song
2714,Inter artes et naturam (Between Art and Nature)
2715,Ludus pro patria (Patriotic Games)
2716,Sleep
2717,Tamaris
2718,Paul and Barnabas at Lystra
2719,A Party of Merrymakers
2720,The Drummond Children
2721,George Harley Drummond (1783–1855)
2722,Alexander Maconochie (1777–1861) of Meadowbank
2723,James Johnston of Straiton (died 1841)
2724,Janet Law
2725,John Gray (1731–1811) of Newholm
2726,"Lady Maitland (Catherine Connor, died 1865)"
2727,"Mrs. Richard Alexander Oswald (Louisa Johnston, ?born about 1760, died 1797)"
2728,William Forsyth (1749–1814)
2729,William Scott-Elliot of Arkleton (1811–1901)
2730,"William Robertson (1753–1835), Lord Robertson"
2731,"The Fletcher Mansion, New York City"
2732,"Place Saint-Germain-des-Prés, Paris"
2733,Holy Family with an Angel
2734,"Giuliano de' Medici (1479–1516), Duke of Nemours"
2735,Portrait of a Woman
2736,A Cat Stealing Fish
2737,Bouquet in a Chinese Vase
2738,The Chariot of Apollo
2739,Etruscan Vase with Flowers
2740,Vase of Flowers (Pink Background)
2741,Pandora
2742,Salome
2743,Man in a Turban
2744,"Portrait of a Man, probably a Member of the Van Beresteyn Family"
2745,Portrait of a Man
2746,"Portrait of a Woman, probably a Member of the Van Beresteyn Family"
2747,Bellona
2748,Portrait of a Woman
2749,Portrait of a Young Woman with a Fan
2750,Herman Doomer (ca. 1595–1650)
2751,The Toilet of Bathsheba
2752,Aristotle with a Bust of Homer
2753,"The Standard Bearer (Floris Soop, 1604–1657)"
2754,Hendrickje Stoffels (1626–1663)
2755,Self-Portrait
2756,Flora
2757,Man with a Magnifying Glass
2758,Portrait of a Man
2759,Portrait of a Man Holding Gloves
2760,Woman with a Pink
2761,Christ and the Woman of Samaria
2762,Head of Christ
2763,A Young Woman as a Shepherdess
2764,"Portrait of a Man (""The Auctioneer"")"
2765,Christ with a Staff
2766,Man in a Beret
2767,Portrait of a Woman
2768,Portrait of a Man with a Breastplate and Plumed Hat
2769,Man with a Steel Gorget
2770,Old Woman Cutting Her Nails
2771,Man in a Red Cloak
2772,Pilate Washing His Hands
2773,The Sibyl
2774,Man in Armor (Mars?)
2775,"Lieven Willemsz van Coppenol (born about 1599, died 1671 or later)"
2776,Man with a Beard
2777,Rembrandt (1606–1669) as a Young Man
2778,Rembrandt's Son Titus (1641–1668)
2779,Study Head of an Old Man
2780,Charity
2781,The Immaculate Conception
2782,"Madame Édouard Bernier (Marie-Octavie-Stéphanie Laurens, 1838–1920)"
2783,Marguerite-Thérèse (Margot) Berard (1874–1956)
2784,View of the Seacoast near Wargemont in Normandy
2785,The Bay of Naples
2786,Still Life with Peaches and Grapes
2787,Still Life with Peaches
2788,By the Seashore
2789,"Hills around the Bay of Moulin Huet, Guernsey"
2790,"Tilla Durieux (Ottilie Godeffroy, 1880–1971)"
2791,"The Farm at Les Collettes, Cagnes"
2792,In the Meadow
2793,A Road in Louveciennes
2794,A Waitress at Duval's Restaurant
2795,Young Girl in a Pink-and-Black Hat
2796,A Young Girl with Daisies
2797,Shepherd with a Flock of Sheep
2798,Portrait of a Boy
2799,Vsevolod Mikhailovich Garshin (1855–1888)
2800,"Thomas (1740–1825) and Martha Neate (1741–after 1795) with His Tutor, Thomas Needham"
2801,"Anne Dashwood (1743–1830), Later Countess of Galloway"
2802,"George Capel, Viscount Malden (1757–1839), and Lady Elizabeth Capel (1755–1834)"
2803,"Mrs. Horton, Later Viscountess Maynard (died 1814/15)"
2804,Captain George K. H. Coussmaker (1759–1801)
2805,"Georgiana Augusta Frederica Elliott (1782–1813), Later Lady Charles Bentinck"
2806,The Honorable Henry Fane (1739–1802) with Inigo Jones and Charles Blair
2807,"Mrs. Lewis Thomas Watson (Mary Elizabeth Milles, 1767–1818)"
2808,John Barker (1707–1787)
2809,"Lady Smith (Charlotte Delaval) and Her Children (George Henry, Louisa, and Charlotte)"
2810,Portrait of a Woman
2811,"Mrs. George Baldwin (Jane Maltass, 1763–1839)"
2812,The Holy Family with Saints Anne and Catherine of Alexandria
2813,Breton Fishermen and Their Families
2814,The Baptism of Christ
2815,The Holy Family with Angels
2816,A Canal in Venice
2817,On the Seine
2818,A Spanish Garden
2819,Portrait of a General Officer
2820,Louis XV (1710–1774) as a Child
2821,Portrait of a Man
2822,Pallas Athena and the Herdsman's Dogs
2823,The Portico of a Country Mansion
2824,The Mouth of a Cave
2825,The Bathing Pool
2826,The Dance
2827,The Fountain
2828,The Return of the Cattle
2829,The Swing
2830,Wandering Minstrels
2831,"Francesco d'Este (born about 1429, died after July 20, 1486)"
2832,Portrait of a Man in a Chaperon
2833,The Annunciation
2834,The Holy Family with Saint Paul and a Donor
2835,"Friedrich I (1460–1536), Margrave of Brandenburg-Ansbach"
2836,Sophia (1464–1512) of Poland
2837,The Sacrifice of Polyxena
2838,"Portrait of a Woman, Said to Be Emily Bertie Pott (died 1782)"
2839,Portrait of a Man
2840,"Lady Elizabeth Stanley (1753–1797), Countess of Derby"
2841,"Mrs. Bryan Cooke (Frances Puleston, 1765–1818)"
2842,"Mrs. Charles Frederick (Martha Rigden, died 1794)"
2843,"Mrs. George Horsley (Charlotte Mary Talbot, died 1828)"
2844,Self-Portrait
2845,Admiral Sir Chaloner Ogle (1726–1816)
2846,Bandits on a Rocky Coast
2847,The Dream of Aeneas
2848,Self-Portrait
2849,Madonna and Child with Two Angels
2850,Portrait of a Man
2851,The Banks of the Bièvre near Bicêtre
2852,Still Life with Ham
2853,"The Edge of the Woods at Monts-Girard, Fontainebleau Forest"
2854,A Meadow Bordered by Trees
2855,An Old Chapel in a Valley
2856,A Path among the Rocks
2857,A River in a Meadow
2858,A River Landscape
2859,Sunset near Arbonne
2860,Atalanta and Meleager
2862,A Forest at Dawn with a Deer Hunt
2863,The Glorification of the Eucharist
2864,The Holy Family with Saints Francis and Anne and the Infant Saint John the Baptist
2865,"The Holy Family with Saint Elizabeth, Saint John, and a Dove"
2866,"Portrait of a Man, Possibly an Architect or Geographer"
2867,"Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599–1628)"
2868,"Rubens, Helena Fourment (1614–1673), and Their Son Frans (1633–1678)"
2869,Study of Two Heads
2870,Venus and Adonis
2871,Wolf and Fox Hunt
2872,Cambyses Appointing Otanes Judge
2873,Frans Francken I (1542–1616)
2874,Saint Teresa of Ávila Interceding for Souls in Purgatory
2875,Susanna and the Elders
2876,Virgin and Child
2877,Landscape with a Village in the Distance
2878,The Forest Stream
2879,Grainfields
2880,Mountain Torrent
2881,Wheat Fields
2882,The Resurrection of Christ and the Harrowing of Hell
2883,Market by the Seashore
2884,A Country Road
2885,Marine
2886,Drawing the Eel
2887,Ferry near Gorinchem
2888,View of the Town of Alkmaar
2889,Rustic Interior
2890,The Yard of the Inn at Emmaus
2891,Marcantonio Pasqualini (1614–1691) Crowned by Apollo
2892,Portrait of a Man
2893,Portrait of a Woman
2894,Paradise
